,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
076836 全新兆豐06購01,"869,850","763,000",46,1.14,1.08,1.18,1.41,03/24,0.77,03/09,
076837 高鐵兆豐06購01,"2,905,990","4,238,000",115,0.69,0.67,0.67,0.76,03/03,0.59,03/25,
076838 元黃金群益05購01,"29,910","438,000",13,0.07,0.08,0.04,0.11,03/03,0.04,03/26,
076840 SGBR2X群益05購05,"702,150","252,000",23,2.79,3.04,2.69,3.98,03/08,2.18,03/24,
076841 大成鋼群益06購01,"11,257,360","5,285,000",186,2.13,1.69,1.67,3.19,03/04,1.20,03/25,
076842 長榮群益05購03,"1,093,900","85,000",14,12.87,13.64,16.00,16.80,03/23,9.70,03/04,
076843 大立光群益05購09,"844,020","5,005,000",200,0.17,0.20,0.10,0.27,03/09,0.04,03/30,
076847 T50反1凱基06購08,"7,000","100,000",1,0.07,0.07,0.07,0.07,03/08,0.07,03/08,
076848 滬深2X凱基05購07,"5,890,420","5,431,000",110,1.08,1.16,1.01,2.07,03/02,0.66,03/25,
076849 滬深2X凱基06購03,"29,034,190","22,298,000",264,1.30,1.40,1.10,2.50,03/03,0.92,03/25,
076850 台化凱基05購01,"2,670,590","1,773,000",107,1.51,1.52,1.29,1.93,03/08,1.16,03/19,
076851 聲寶凱基05購01,"11,112,300","10,642,000",421,1.04,1.02,1.14,1.34,03/16,0.78,03/03,
076852 大成鋼凱基05購02,"2,716,130","862,000",117,3.15,2.98,3.02,4.69,03/04,2.30,03/26,
076853 南帝凱基06購02,"10,764,440","4,577,000",272,2.35,2.65,4.89,4.89,03/26,1.12,03/03,
076854 為升凱基05購04,"1,056,610","1,094,000",92,0.97,0.87,1.10,1.21,03/31,0.53,03/10,
076855 友訊凱基05購02,"1,037,830","701,000",66,1.48,1.52,1.45,1.66,03/03,1.31,03/30,
076856 金像電凱基05購02,"1,335,450","1,026,000",86,1.30,1.32,1.04,1.85,03/08,0.99,03/22,
076857 聯發科凱基06購07,"10,799,560","4,804,000",351,2.25,2.07,2.78,2.88,03/31,1.50,03/24,
076858 華立凱基05購02,"306,210","556,000",25,0.55,0.55,0.44,0.64,03/24,0.43,03/29,
076859 景碩凱基05購04,"1,215,410","545,000",79,2.23,2.32,2.95,3.01,03/29,1.94,03/19,
076860 京鼎凱基05購01,"1,215,880","999,000",55,1.22,1.13,1.18,1.53,03/29,0.90,03/19,
076861 聯鈞凱基05購01,"219,130","565,000",15,0.39,0.40,0.38,0.48,03/10,0.32,03/26,
076862 正文凱基05購02,"1,073,470","1,847,000",74,0.58,0.55,0.44,0.73,03/22,0.44,03/30,
076863 愛普凱基07購01,"129,370","29,000",9,4.46,4.36,5.55,5.55,03/16,3.55,03/03,
076864 台灣50麥證05購03,"306,000","30,000",1,10.20,10.20,10.20,10.20,03/10,10.20,03/10,
076865 中興電麥證05購01,"2,576,410","2,803,000",104,0.92,0.86,0.81,1.07,03/15,0.65,03/25,
076866 SP黃豆元大06購05,"174,370","137,000",4,1.27,1.33,1.16,1.49,03/08,1.16,03/18,
076867 聲寶元大05購01,"9,394,690","7,923,000",381,1.19,1.18,1.35,1.57,03/15,0.82,03/02,
076870 鴻海元大05購12,"6,042,300","418,000",60,14.46,15.44,18.90,20.90,03/17,12.10,03/09,
076872 國巨元大05購11,"136,450","23,000",4,5.93,6.16,6.00,6.85,03/16,5.75,03/26,
076873 國巨元大05購12,"2,208,930","599,000",105,3.69,3.66,2.91,6.00,03/02,2.74,03/25,
076874 國巨元大05購13,"243,500","40,000",4,6.09,6.09,5.90,6.65,03/12,5.70,03/26,
076875 智邦元大05購03,"2,600,980","2,154,000",123,1.21,1.21,1.41,1.46,03/02,0.99,03/11,
076876 南亞科元大05購02,"74,800","20,000",2,3.74,3.74,3.61,3.87,03/18,3.61,03/19,
076877 建準元大05購01,"803,990","1,100,000",77,0.73,0.66,0.54,1.02,03/02,0.50,03/31,
076878 義隆元大05購04,"573,000","200,000",11,2.86,2.90,2.94,2.94,03/08,2.80,03/08,
076880 華新科元大05購07,"8,129,870","1,321,000",156,6.15,5.81,5.10,7.60,03/16,4.30,03/25,
076881 華新科元大05購08,"148,150","28,000",8,5.29,5.28,5.35,5.60,03/16,5.00,03/15,
076882 長榮航元大05購01,"1,196,500","701,000",15,1.71,1.88,1.75,2.40,03/22,1.62,03/05,
076883 長榮航元大05購02,"2,967,860","1,888,000",69,1.57,1.67,1.54,1.91,03/22,1.39,03/03,
076884 亞光元大05購02,"802,440","285,000",52,2.82,2.75,2.71,3.20,03/02,2.49,03/23,
076887 晶技元大05購03,"138,920","50,000",6,2.78,2.68,2.90,2.90,03/30,2.39,03/04,
076888 玉晶光元大05購06,"1,614,920","5,446,000",91,0.30,0.32,0.20,0.52,03/03,0.17,03/26,
076889 京鼎元大05購04,"1,005,390","678,000",45,1.48,1.41,1.83,1.85,03/29,1.09,03/09,
076890 京鼎元大05購05,"727,320","485,000",36,1.50,1.61,2.03,2.03,03/29,1.37,03/11,
076891 欣陸元大05購01,"539,180","1,072,000",57,0.50,0.49,0.44,0.58,03/09,0.40,03/12,
076892 正文元大05購03,"9,692,570","9,406,000",466,1.03,1.00,0.92,1.29,03/22,0.80,03/09,
076893 聯茂元大05購03,"1,092,070","1,370,000",31,0.80,0.56,0.50,0.88,03/02,0.42,03/22,
076894 台表科元大05購05,"1,442,140","2,808,000",180,0.51,0.53,0.47,0.71,03/02,0.30,03/09,
076895 樺漢元大05購03,"2,417,490","2,372,000",95,1.02,1.00,1.01,1.29,03/02,0.84,03/09,
076896 訊芯元大05購03,"808,160","1,084,000",52,0.75,0.73,0.66,0.83,03/22,0.60,03/11,
076897 訊芯元大05購04,"2,581,250","2,673,000",86,0.97,0.98,0.98,1.11,03/22,0.88,03/11,
076898 寶成元大05購01,"2,280,000","2,492,000",48,0.91,0.98,1.04,1.24,03/18,0.77,03/05,
076903 臺指反國票08購01,"18,350","88,000",7,0.21,0.19,0.09,0.27,03/04,0.09,03/29,
076904 臺指反國票09購01,"32,660","103,000",2,0.32,0.27,0.22,0.32,03/05,0.22,03/22,
076906 道瓊銀國票08購01,"349,870","228,000",12,1.53,1.57,1.38,1.93,03/18,1.37,03/30,
076907 中興電國票06購03,"255,670","396,000",8,0.65,0.64,0.58,0.73,03/15,0.58,03/19,
076908 光罩國票06購02,"1,909,040","547,000",58,3.49,4.26,8.10,8.30,03/31,2.10,03/09,
076909 華新科國票08購01,"3,286,100","2,177,000",105,1.51,1.52,1.33,2.19,03/15,1.15,03/25,
076910 長榮國票07購02,"35,400","4,000",4,8.85,8.68,9.10,9.35,03/31,7.65,03/26,
076911 健策國票07購01,"253,720","228,000",17,1.11,0.92,0.51,1.27,03/03,0.51,03/25,
076912 中興電統一06購01,"3,600,100","4,120,000",179,0.87,0.82,0.70,1.60,03/16,0.66,03/25,
076914 為升統一07購01,"9,536,650","7,795,000",348,1.22,1.17,1.42,1.61,03/23,0.85,03/10,
076915 台積電統一06購07,"4,157,590","1,962,000",423,2.12,2.37,1.98,2.89,03/03,1.66,03/25,
076916 聯發科統一05購07,"1,640,170","757,000",44,2.17,2.25,2.73,2.74,03/02,1.86,03/24,
076917 全新統一07購01,"676,040","418,000",46,1.62,1.63,1.99,2.00,03/24,1.25,03/09,
076919 大立光統一05購06,"43,200","200,000",17,0.22,0.21,0.18,0.26,03/26,0.18,03/31,
076920 大立光統一07購06,"96,990","179,000",9,0.54,0.55,0.60,0.61,03/10,0.51,03/03,
076921 大立光統一07購07,"91,900","118,000",5,0.78,0.78,0.82,0.82,03/10,0.73,03/03,
076922 TPK統一05購03,"5,310,840","5,130,000",176,1.04,1.03,0.88,1.28,03/10,0.88,03/31,
076923 欣陸統一07購01,"6,844,200","10,607,000",292,0.65,0.62,0.63,0.73,03/17,0.53,03/15,
076924 奇力新元富0B購01,"379,790","362,000",22,1.05,0.99,0.91,1.16,03/02,0.89,03/09,
076925 長榮航元富08購02,"975,990","635,000",26,1.54,1.53,1.69,1.75,03/02,1.36,03/10,
076926 大立光元富05購08,"148,200","320,000",6,0.46,0.47,0.43,0.52,03/09,0.43,03/12,
076928 欣興元富05購07,"31,610,010","10,574,000",88,2.99,2.85,2.80,4.34,03/02,2.13,03/25,
076929 京鼎元富0B購01,"3,876,630","1,797,000",88,2.16,2.26,2.22,2.77,03/29,1.93,03/10,
076931 麗豐元富08購01,"6,810,620","3,309,000",174,2.06,2.04,2.24,2.38,03/26,1.77,03/05,
076932 愛普元富05購01,"47,500","5,000",1,9.50,9.50,9.50,9.50,03/22,9.50,03/22,
076933 國巨國泰07購03,"2,780,200","458,000",41,6.07,5.97,5.80,7.05,03/16,5.45,03/25,
076934 宏達電國泰07購01,"7,280,810","9,114,000",219,0.80,0.78,1.06,1.06,03/31,0.65,03/09,
076937 台泥富邦07購01,"677,230","1,451,000",113,0.47,0.44,0.50,0.50,03/31,0.35,03/17,
076938 為升富邦06購01,"4,366,910","6,473,000",185,0.67,0.62,0.78,0.81,03/31,0.42,03/09,
076939 燿華富邦07購01,"421,490","1,059,000",73,0.40,0.41,0.41,0.48,03/03,0.34,03/12,
076940 長榮富邦06購01,"1,260,660","288,000",46,4.38,4.16,5.35,5.70,03/23,3.04,03/02,
076941 萬海富邦06購02,"8,305,620","7,640,000",426,1.09,1.07,1.51,1.70,03/31,0.77,03/09,
076942 祥碩富邦05購01,"242,320","489,000",10,0.50,0.50,0.44,0.55,03/02,0.44,03/05,
076943 中興電永豐05購03,"1,158,250","1,434,000",95,0.81,0.78,0.60,1.00,03/15,0.60,03/31,
076944 永冠永豐05購01,"366,650","734,000",33,0.50,0.49,0.33,0.64,03/02,0.32,03/29,
076945 光寶科永豐05購01,"578,470","231,000",53,2.50,2.55,2.96,3.12,03/30,1.88,03/09,
076947 台積電永豐05購04,"2,649,430","848,000",46,3.12,3.14,2.97,3.80,03/12,2.34,03/25,
076948 光罩永豐05購02,"654,260","238,000",47,2.75,3.43,6.80,6.80,03/23,2.01,03/11,
076949 凌陽永豐05購01,"50,500","10,000",1,5.05,5.05,5.05,5.05,03/25,5.05,03/25,
076950 聯發科永豐05購04,"744,960","320,000",23,2.33,2.34,2.74,2.74,03/26,2.08,03/24,
076951 國揚永豐05購01,"2,080,500","2,151,000",105,0.97,0.93,0.81,1.22,03/08,0.69,03/31,
076952 玉晶光永豐05購04,"274,440","3,978,000",41,0.07,0.07,0.03,0.14,03/03,0.03,03/31,
076953 旭富永豐05購01,"25,920","302,000",13,0.09,0.09,0.06,0.12,03/03,0.06,03/29,
076954 達運永豐05購01,"836,330","888,000",42,0.94,0.92,1.30,1.35,03/31,0.71,03/05,
076955 愛普永豐05購02,"18,550","5,000",2,3.71,3.71,3.71,3.71,03/10,3.71,03/10,
076956 南亞科兆豐05購01,"5,540,190","1,940,000",127,2.86,2.87,2.87,3.88,03/03,2.12,03/09,
076957 南電兆豐05購02,"10,800","1,000",1,10.80,10.80,10.80,10.80,03/24,10.80,03/24,
076958 滬深2X群益06購02,"378,180","278,000",53,1.36,1.11,0.83,2.32,03/03,0.52,03/25,
076960 元油反群益05購03,"34,930","499,000",1,0.07,0.07,0.07,0.07,03/04,0.07,03/04,
076961 國巨群益05購06,"175,750","30,000",4,5.86,5.92,6.30,6.30,03/12,5.15,03/11,
076962 聯發科群益05購04,"350,670","147,000",27,2.39,2.65,3.14,3.44,03/15,1.78,03/23,
076963 奇力新群益05購05,"18,230","87,000",8,0.21,0.20,0.18,0.30,03/04,0.15,03/15,
076964 華新科群益05購03,"729,500","200,000",19,3.65,4.40,3.56,6.60,03/11,3.42,03/31,
076966 長榮群益06購02,"26,080","4,000",2,6.52,6.52,8.05,8.05,03/23,4.99,03/05,
076967 晶豪科群益06購01,"385,000","40,000",3,9.62,9.58,9.75,10.00,03/08,9.00,03/03,
076968 京鼎群益06購02,"1,711,780","977,000",71,1.75,1.61,2.02,2.10,03/29,1.30,03/16,
076969 世芯群益06購01,"470,770","106,000",19,4.44,4.41,4.41,5.30,03/18,3.63,03/10,
076970 世芯群益07購01,"360,690","64,000",11,5.64,5.30,5.10,6.75,03/17,4.34,03/05,
076971 世芯群益08購01,"11,641,850","1,730,000",268,6.73,6.64,6.65,8.95,03/17,5.35,03/05,
076973 奇力新中信05購04,"46,440","737,000",24,0.06,0.06,0.04,0.10,03/02,0.03,03/22,
076974 華新科中信05購02,"1,674,580","1,464,000",71,1.14,1.11,0.88,1.43,03/02,0.78,03/25,
076975 T50反1元大08購08,"8,000","200,000",1,0.04,0.04,0.04,0.04,03/30,0.04,03/30,
076978 泰豐元大05購01,"4,847,060","7,052,000",145,0.69,0.66,0.97,1.09,03/31,0.44,03/12,
076979 宏碁元大05購01,"626,090","238,000",30,2.63,2.50,3.47,3.47,03/25,1.84,03/04,
076980 華立元大05購03,"9,622,240","8,165,000",150,1.18,1.09,1.02,1.38,03/24,0.96,03/09,
076982 世芯元大05購02,"11,200","3,000",3,3.73,3.64,4.00,4.00,03/17,3.27,03/11,
076983 世芯元大05購04,"2,731,930","1,040,000",82,2.63,2.59,2.78,3.21,03/18,2.03,03/05,
076984 世芯元大06購01,"1,117,290","387,000",51,2.89,2.95,3.04,3.44,03/17,2.44,03/03,
076985 世芯元大06購02,"6,215,960","1,684,000",179,3.69,3.63,3.63,4.69,03/18,2.87,03/05,
076986 世芯元大07購01,"14,143,180","4,736,000",576,2.99,2.69,2.62,3.63,03/17,2.19,03/05,
076987 聯成國票06購01,"1,667,420","1,336,000",53,1.25,1.23,1.59,1.60,03/29,1.01,03/03,
076988 廣宇國票07購01,"880,350","117,000",35,7.52,7.36,8.60,8.60,03/23,6.10,03/09,
076989 凌陽國票07購01,"115,660","22,000",13,5.26,4.54,5.60,5.70,03/23,3.42,03/11,
076990 義隆國票07購01,"119,480","41,000",14,2.91,3.15,3.82,3.82,03/30,2.66,03/16,
076991 華新科國票06購04,"7,243,040","2,616,000",132,2.77,2.96,2.56,3.97,03/16,2.23,03/25,
076992 美食國票06購01,"3,213,690","3,638,000",114,0.88,0.90,1.21,1.23,03/25,0.74,03/18,
076993 華立國票06購02,"3,434,920","2,821,000",90,1.22,1.22,1.18,1.44,03/24,1.06,03/09,
076994 聯詠國票06購01,"5,734,350","475,000",51,12.07,14.34,22.00,22.00,03/31,9.50,03/05,
076995 日電貿國票06購01,"7,508,360","7,597,000",238,0.99,0.96,0.83,1.20,03/18,0.81,03/25,
076996 嘉澤國票07購01,"1,047,520","788,000",16,1.33,1.35,1.14,1.88,03/03,1.14,03/31,
076998 世芯國票05購03,"249,300","100,000",7,2.49,2.54,2.78,2.78,03/25,2.28,03/10,
076999 世芯國票06購01,"14,130","4,000",4,3.53,3.53,4.12,4.12,03/15,3.13,03/05,
077000 世芯國票06購02,"7,634,250","3,703,000",199,2.06,1.94,1.86,2.80,03/17,1.49,03/05,
077001 世芯國票07購01,"1,383,210","323,000",27,4.28,4.26,4.40,5.45,03/18,3.61,03/10,
077002 世芯國票07購03,"677,660","316,000",52,2.14,2.30,2.59,2.81,03/17,1.88,03/09,
077003 世芯國票08購01,"10,311,860","1,923,000",181,5.36,5.31,5.05,7.10,03/17,4.31,03/05,
077004 祥碩國票06購04,"1,296,980","1,684,000",55,0.77,0.76,0.60,1.21,03/02,0.60,03/31,
077005 緯穎國票06購01,"129,100","67,000",14,1.93,1.97,1.87,2.24,03/12,1.79,03/22,
077006 宏碁麥證05購01,"5,352,510","2,342,000",112,2.29,2.20,3.32,3.38,03/23,1.62,03/05,
077008 緯穎麥證05購01,"154,950","84,000",14,1.84,1.86,1.76,1.94,03/04,1.70,03/05,
077009 長榮康和05購02,"518,900","71,000",19,7.31,7.46,8.65,9.65,03/24,6.20,03/08,
077010 世芯康和05購01,"38,852,460","8,977,000",500,4.33,4.25,3.95,6.70,03/17,3.20,03/05,
077011 FBVIX凱基05購03,"852,790","1,670,000",64,0.51,0.47,0.17,0.75,03/05,0.17,03/31,
077012 FBVIX凱基05購04,"1,367,610","2,878,000",12,0.48,0.47,0.26,0.57,03/04,0.26,03/17,
077013 鴻海凱基05購09,"215,400","24,000",2,8.98,9.05,8.60,9.50,03/23,8.60,03/25,
077015 智邦凱基05購02,"608,400","801,000",56,0.76,0.76,0.86,1.12,03/02,0.55,03/05,
077016 聯發科凱基05購11,"8,650","4,000",3,2.16,2.14,1.96,2.24,03/03,1.96,03/08,
077018 華新科凱基05購09,"147,490","54,000",4,2.73,2.74,2.72,2.75,03/26,2.72,03/29,
077019 長榮凱基05購03,"686,000","80,000",7,8.58,8.67,8.40,10.20,03/22,7.70,03/16,
077020 晶豪科凱基07購01,"4,243,090","878,000",81,4.83,4.91,7.00,7.00,03/31,4.00,03/10,
077021 大立光凱基05購13,"96,520","520,000",4,0.19,0.15,0.04,0.20,03/03,0.04,03/30,
077022 嘉晶凱基05購02,"2,548,130","3,938,000",86,0.65,0.64,0.60,0.80,03/22,0.50,03/19,
077023 亞光凱基05購02,"1,180,770","411,000",36,2.87,2.69,2.50,3.05,03/02,2.40,03/26,
077024 日電貿凱基05購01,"2,873,590","3,477,000",130,0.83,0.81,0.68,1.01,03/16,0.67,03/25,
077025 玉晶光凱基05購09,"5,550","31,000",4,0.18,0.22,0.11,0.35,03/03,0.11,03/25,
077026 嘉澤凱基05購03,"1,543,930","887,000",68,1.74,1.74,1.55,2.35,03/04,1.42,03/19,
077027 健策凱基06購01,"78,980","52,000",11,1.52,1.30,0.86,1.81,03/02,0.86,03/19,
077028 世芯凱基05購01,"66,340","24,000",6,2.76,2.74,3.23,3.23,03/12,2.39,03/08,
077029 世芯凱基06購01,"235,510","54,000",7,4.36,4.41,4.61,4.65,03/26,3.66,03/11,
077030 世芯凱基06購02,"1,727,470","575,000",82,3.00,3.08,3.19,3.96,03/18,2.28,03/05,
077031 世芯凱基07購01,"15,415,090","7,675,000",686,2.01,1.90,1.84,2.57,03/17,1.51,03/05,
077032 欣陸凱基05購02,"74,980","132,000",4,0.57,0.56,0.54,0.59,03/04,0.54,03/05,
077033 台郡凱基06購01,"1,819,540","1,893,000",87,0.96,0.95,0.91,1.07,03/04,0.86,03/29,
077034 台表科凱基06購03,"3,241,120","5,138,000",75,0.63,0.63,0.62,0.78,03/02,0.42,03/09,
077035 愛普凱基05購04,"1,457,170","477,000",57,3.05,4.19,6.45,6.45,03/30,2.29,03/05,
077037 臺股指凱基05購31,"64,680","12,000",3,5.39,5.14,5.55,5.55,03/29,4.68,03/24,
077038 國巨國泰08購01,"249,500","40,000",5,6.24,6.28,5.85,7.15,03/04,5.85,03/10,
077039 世芯國泰07購01,"73,150","25,000",9,2.93,2.86,3.07,3.60,03/17,2.28,03/05,
077040 世芯國泰07購02,"838,580","318,000",25,2.64,2.65,3.04,3.04,03/18,2.21,03/09,
077042 正新永豐05購01,"4,186,730","5,214,000",183,0.80,0.77,1.03,1.08,03/31,0.64,03/19,
077043 聯電永豐05購05,"574,520","198,000",51,2.90,2.88,3.10,3.36,03/12,2.48,03/19,
077044 國巨永豐05購02,"51,960","12,000",3,4.33,4.33,4.52,4.52,03/12,4.14,03/11,
077045 旺宏永豐05購02,"8,816,470","4,172,000",115,2.11,2.06,1.99,3.09,03/02,1.63,03/25,
077046 光磊永豐05購02,"3,746,890","5,049,000",119,0.74,0.74,0.67,0.95,03/25,0.63,03/15,
077047 奇力新永豐05購03,"258,160","1,616,000",23,0.16,0.17,0.13,0.27,03/02,0.13,03/26,
077048 華新科永豐05購03,"785,150","319,000",37,2.46,2.38,2.27,2.70,03/16,2.15,03/11,
077050 晶豪科永豐05購02,"3,237,250","640,000",16,5.06,6.06,8.00,8.00,03/31,4.98,03/03,
077051 大立光永豐05購04,"713,580","1,167,000",98,0.61,0.58,0.38,0.80,03/10,0.38,03/31,
077052 日電貿永豐05購01,"2,374,620","2,016,000",109,1.18,1.12,0.85,1.37,03/16,0.84,03/31,
077053 健策永豐05購02,"1,750,560","1,730,000",60,1.01,1.00,0.59,1.51,03/02,0.52,03/24,
077054 世芯永豐05購02,"11,207,050","4,253,000",284,2.64,2.43,2.30,3.75,03/17,1.85,03/05,
077055 世芯永豐05購03,"286,390","93,000",12,3.08,3.05,3.51,3.58,03/12,2.55,03/09,
077057 世芯永豐07購01,"4,519,460","1,482,000",105,3.05,3.01,2.88,3.96,03/17,2.36,03/05,
077059 志超永豐05購01,"2,982,920","2,173,000",92,1.37,1.42,1.34,1.76,03/22,1.21,03/09,
077060 奇力新統一08購01,"317,200","860,000",15,0.37,0.38,0.36,0.41,03/11,0.36,03/30,
077061 國揚統一07購01,"10,994,040","12,047,000",289,0.91,0.93,0.98,1.20,03/08,0.77,03/22,
077064 牧德統一07購01,"638,280","948,000",21,0.67,0.64,0.62,0.78,03/02,0.58,03/09,
077065 祥碩統一09購01,"5,333,200","5,974,000",211,0.89,0.89,0.74,1.19,03/02,0.73,03/31,
077066 愛普統一05購01,"308,580","57,000",15,5.41,5.26,5.65,5.90,03/29,4.54,03/15,
077067 愛普統一06購03,"16,650","3,000",1,5.55,5.55,5.55,5.55,03/17,5.55,03/17,
077068 愛普統一07購03,"39,310","9,000",2,4.37,4.43,4.94,4.94,03/29,3.91,03/25,
077069 愛普統一09購01,"1,491,020","447,000",77,3.34,3.44,4.72,4.75,03/30,2.37,03/05,
077070 道瓊反元富09購01,"181,500","850,000",7,0.21,0.23,0.21,0.24,03/22,0.20,03/31,
077071 台聚元富05購01,"1,927,460","598,000",44,3.22,3.19,3.50,4.34,03/15,2.30,03/05,
077072 聚陽元富05購01,"4,293,600","1,661,000",46,2.58,2.53,3.71,3.71,03/25,1.78,03/05,
077073 和桐元富05購01,"3,879,420","4,125,000",87,0.94,0.90,0.89,1.80,03/30,0.79,03/23,
077074 喬山元富05購01,"1,496,460","985,000",58,1.52,1.33,0.99,1.77,03/17,0.99,03/25,
077075 勝一元富05購01,"205,950","180,000",8,1.14,1.12,1.05,1.32,03/02,1.02,03/31,
077076 宏碁元富05購01,"719,090","180,000",19,3.99,3.73,4.61,4.64,03/30,2.79,03/11,
077077 致茂元富05購01,"2,517,600","579,000",5,4.35,3.88,3.64,4.46,03/04,3.62,03/26,
077078 技嘉元富05購01,"3,939,710","1,130,000",87,3.49,3.58,4.09,4.17,03/15,2.49,03/05,
077079 漢唐元富05購01,"737,730","297,000",33,2.48,2.56,2.83,3.10,03/25,2.11,03/10,
077080 華新科元富07購05,"104,840","41,000",6,2.56,2.55,2.45,2.92,03/03,2.19,03/25,
077081 嘉晶元富05購01,"1,892,710","1,065,000",33,1.78,1.67,1.62,2.03,03/22,1.53,03/26,
077082 健鼎元富05購01,"3,121,560","1,353,000",28,2.31,2.19,2.15,2.80,03/02,1.89,03/15,
077083 緯創元富05購01,"9,680,870","8,270,000",74,1.17,1.09,1.11,1.35,03/23,0.93,03/05,
077084 新日興元富05購01,"35,000","135,000",8,0.26,0.34,0.24,0.52,03/15,0.24,03/31,
077085 世芯元富06購01,"193,250","42,000",6,4.60,4.66,5.20,5.40,03/17,3.73,03/10,
077086 世芯元富0B購01,"5,539,370","1,343,000",159,4.12,4.13,4.21,5.40,03/17,3.49,03/05,
077088 國巨富邦06購02,"2,521,310","1,482,000",103,1.70,1.57,1.43,2.17,03/02,1.28,03/09,
077089 友達富邦06購01,"84,880","18,000",6,4.72,4.44,5.15,5.15,03/29,3.90,03/19,
077090 義隆富邦06購01,"1,575,170","896,000",120,1.76,1.79,2.40,2.40,03/31,1.37,03/09,
077091 華新科富邦07購02,"10,362,220","8,498,000",613,1.22,1.29,1.18,1.74,03/16,0.99,03/25,
077092 新光金富邦05購01,"104,400","214,000",23,0.49,0.47,0.54,0.58,03/29,0.34,03/02,
077093 華立富邦06購01,"4,380,540","6,100,000",288,0.72,0.69,0.68,0.88,03/24,0.61,03/05,
077094 群創富邦05購02,"58,790","13,000",2,4.52,4.66,4.93,4.93,03/22,4.40,03/16,
077095 訊芯富邦05購01,"239,410","1,042,000",24,0.23,0.24,0.24,0.28,03/22,0.19,03/09,
077096 愛普富邦06購01,"366,410","154,000",15,2.38,2.28,2.31,2.93,03/17,1.59,03/03,
077097 國巨第一07購01,"180,030","72,000",8,2.50,2.35,2.32,2.66,03/12,2.08,03/09,
077098 旺宏兆豐05購01,"3,779,740","3,376,000",157,1.12,1.15,1.09,2.24,03/02,0.71,03/09,
077099 亞光兆豐05購01,"10,062,420","5,663,000",279,1.78,1.60,1.38,2.15,03/02,1.21,03/25,
077101 健策兆豐06購01,"2,290,500","2,426,000",116,0.94,0.94,0.67,1.47,03/02,0.53,03/25,
077102 臺股指麥證05購12,"26,094,500","4,983,000",935,5.24,5.49,6.25,7.10,03/18,3.65,03/09,
077103 聯電統一07購02,"6,692,150","3,447,000",269,1.94,1.91,2.00,2.89,03/02,1.20,03/23,
077105 聯發科統一06購04,"1,558,030","551,000",67,2.83,2.89,3.57,3.58,03/30,2.30,03/11,
077106 奇力新統一06購02,"11,520","36,000",9,0.32,0.32,0.30,0.34,03/19,0.30,03/22,
077107 奇力新統一07購02,"205,300","424,000",12,0.48,0.49,0.49,0.55,03/04,0.45,03/23,
077108 萬海統一07購04,"7,595,010","4,607,000",323,1.65,1.80,2.56,2.56,03/31,1.37,03/02,
077109 貿聯統一05購02,"1,564,060","1,464,000",53,1.07,1.11,0.90,1.37,03/05,0.80,03/26,
077110 南六統一06購03,"283,460","575,000",10,0.49,0.49,0.40,0.58,03/15,0.40,03/31,
077112 長榮元富08購01,"43,000","5,000",4,8.60,8.78,9.60,9.60,03/23,7.40,03/19,
077113 長榮元富08購02,"252,800","35,000",7,7.22,7.16,7.85,8.60,03/22,5.90,03/16,
077114 中磊元富06購01,"38,250","85,000",4,0.45,0.46,0.47,0.48,03/19,0.44,03/04,
077115 達麗元富05購01,"608,700","518,000",21,1.18,1.15,1.14,1.22,03/17,1.08,03/12,
077116 帆宣元富05購01,"1,371,980","1,903,000",16,0.72,0.73,0.63,1.00,03/04,0.63,03/24,
077117 聯茂元富05購01,"50,690","59,000",2,0.86,0.98,0.76,1.21,03/03,0.76,03/15,
077118 樺漢元富05購01,"228,350","215,000",33,1.06,1.10,0.93,1.65,03/02,0.92,03/22,
077119 訊芯元富05購01,"154,810","170,000",8,0.91,0.87,0.90,0.95,03/17,0.77,03/12,
077120 潤泰新元富05購01,"6,946,680","3,776,000",112,1.84,1.74,3.04,3.17,03/29,1.29,03/05,
