,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
076571 台積電永豐05購03,"202,390","58,000",50,3.49,3.48,5.50,5.50,01/21,1.99,01/04,
076572 光罩永豐05購01,"12,989,970","5,032,000",206,2.58,2.51,2.07,2.88,01/08,2.07,01/29,
076573 全新永豐05購02,"7,478,290","2,523,000",195,2.96,2.96,1.84,3.44,01/25,1.84,01/29,
076574 美食永豐05購02,"1,462,900","1,686,000",50,0.87,0.74,0.47,1.02,01/08,0.47,01/26,
076575 玉晶光永豐05購02,"402,660","786,000",79,0.51,0.56,0.44,1.05,01/06,0.33,01/20,
076576 科嘉永豐05購01,"635,760","1,079,000",37,0.59,0.57,0.51,0.64,01/14,0.51,01/28,
076577 嘉聯益永豐05購01,"4,654,230","3,548,000",93,1.31,1.20,0.92,1.85,01/15,0.75,01/21,
076578 盛群永豐05購01,"3,299,210","2,781,000",81,1.19,1.15,1.01,1.40,01/11,1.00,01/28,
076579 矽創永豐05購01,"2,515,800","1,623,000",127,1.55,1.54,1.27,1.80,01/22,1.27,01/29,
076580 聯發科第一05購01,"426,440","278,000",19,1.53,1.37,1.48,1.75,01/21,1.09,01/08,
076581 T50反1中信09購01,"185,410","432,000",9,0.43,0.51,0.53,0.64,01/07,0.40,01/21,
076582 上証2X中信06購01,"34,770","16,000",4,2.17,2.33,2.62,2.62,01/07,2.06,01/05,
076583 上証反中信06購01,"332,290","1,283,000",42,0.26,0.26,0.26,0.38,01/04,0.22,01/26,
076584 滬深反中信07購01,"823,650","2,594,000",60,0.32,0.33,0.33,0.48,01/04,0.27,01/25,
076585 台積電中信09購01,"4,758,640","1,801,000",260,2.64,2.58,2.58,3.80,01/21,1.52,01/04,
076586 台積電中信09購02,"9,358,330","4,354,000",392,2.15,2.16,2.14,3.38,01/21,1.22,01/04,
076587 台積電中信09購03,"7,578,070","4,187,000",431,1.81,1.81,1.76,2.94,01/21,0.98,01/04,
076588 華碩中信07購01,"2,003,320","2,063,000",160,0.97,0.93,0.95,1.13,01/13,0.57,01/05,
076589 中鋼兆豐05購01,"4,697,830","2,319,000",107,2.03,1.73,1.07,2.77,01/06,0.99,01/29,
076591 國巨兆豐06購03,"1,491,700","360,000",37,4.14,4.59,4.83,6.15,01/25,3.06,01/06,
076592 技嘉兆豐05購01,"2,987,260","2,848,000",157,1.05,1.05,0.96,1.21,01/14,0.86,01/22,
076593 奇力新兆豐08購01,"1,853,180","3,331,000",79,0.56,0.55,0.38,0.74,01/08,0.36,01/28,
076594 京鼎兆豐05購01,"865,260","579,000",34,1.49,1.52,1.94,2.05,01/15,1.20,01/04,
076595 T50反1群益05購07,"2,817,040","11,490,000",222,0.25,0.19,0.19,0.35,01/04,0.11,01/21,
076596 T50反1群益05購08,"671,490","4,464,000",72,0.15,0.14,0.19,0.22,01/04,0.09,01/28,
076597 鴻海群益05購03,"15,955,300","2,327,000",220,6.86,10.15,12.80,17.40,01/14,2.86,01/04,
076598 台積電群益05購15,"6,206,310","1,854,000",152,3.35,3.96,3.86,6.80,01/21,1.92,01/04,
076599 精英群益05購01,"1,536,400","538,000",51,2.86,2.82,2.66,3.17,01/07,2.43,01/08,
076601 聯發科群益05購03,"6,326,800","3,402,000",129,1.86,1.89,2.28,2.74,01/21,1.13,01/04,
076602 超眾群益05購02,"63,890","168,000",9,0.38,0.38,0.37,0.39,01/14,0.37,01/15,
076605 臺股指群益05購12,"255,500","30,000",2,8.52,8.50,8.45,8.55,01/20,8.45,01/26,
076606 臺股指群益05購13,"17,850","3,000",1,5.95,5.95,5.95,5.95,01/04,5.95,01/04,
076607 元金2X國票08購01,"42,230","29,000",17,1.46,1.39,1.18,1.81,01/04,1.13,01/18,
076608 台玻國票06購01,"4,652,520","2,987,000",127,1.56,1.19,0.66,2.29,01/05,0.66,01/28,
076609 鴻海國票07購01,"5,728,120","1,210,000",79,4.73,7.94,11.00,13.50,01/25,1.91,01/04,
076610 智邦國票07購01,"972,900","621,000",37,1.57,1.47,1.49,1.74,01/11,1.26,01/18,
076611 金像電國票06購01,"487,670","277,000",12,1.76,1.81,1.65,2.30,01/14,1.58,01/08,
076612 台光電國票08購01,"77,090","107,000",7,0.72,0.73,0.72,0.78,01/14,0.71,01/04,
076613 南亞科國票07購01,"1,968,130","588,000",71,3.35,3.47,2.23,4.81,01/08,2.09,01/28,
076614 華立國票06購01,"368,920","330,000",19,1.12,1.10,0.90,1.40,01/25,0.90,01/29,
076615 台表科國票06購02,"2,578,400","2,991,000",113,0.86,0.79,0.70,1.11,01/04,0.67,01/28,
076616 訊芯國票06購01,"1,530,450","1,552,000",50,0.99,0.99,0.76,1.26,01/08,0.73,01/27,
076617 臺股指國票05購01,"24,720","6,000",2,4.12,4.12,4.04,4.20,01/08,4.04,01/11,
076618 臺股指國票05購02,"5,485,930","943,000",15,5.82,4.94,6.45,6.90,01/19,3.15,01/04,
076619 臺股指國票05購03,"218,200","45,000",4,4.85,4.78,4.80,4.98,01/05,4.56,01/04,
076620 國巨麥證08購01,"23,266,000","4,635,000",61,5.02,5.04,5.85,5.95,01/25,3.67,01/06,
076621 臺股指麥證05購08,"12,148,280","2,731,000",268,4.45,4.53,2.75,7.00,01/21,2.39,01/06,
076622 中興電元大05購03,"1,211,270","1,236,000",66,0.98,0.88,0.85,1.40,01/04,0.69,01/21,
076623 中興電元大06購01,"4,661,690","3,638,000",155,1.28,1.27,1.38,1.73,01/04,1.04,01/20,
076624 T50反1元大07購02,"590,620","3,791,000",91,0.16,0.15,0.15,0.27,01/04,0.08,01/22,
076625 T50反1元大08購07,"1,027,370","6,438,000",104,0.16,0.16,0.21,0.29,01/04,0.10,01/22,
076626 S&P反1元大07購02,"787,760","2,272,000",18,0.35,0.35,0.34,0.42,01/06,0.28,01/21,
076627 臺指反元大08購01,"369,770","2,084,000",51,0.18,0.21,0.23,0.32,01/04,0.13,01/21,
076628 臺指反元大08購02,"422,370","2,623,000",25,0.16,0.18,0.20,0.26,01/06,0.12,01/22,
076629 鴻海元大05購09,"1,907,190","431,000",45,4.43,5.80,7.60,8.05,01/15,3.30,01/04,
076630 鴻海元大06購04,"1,758,500","412,000",39,4.27,4.74,6.15,6.15,01/21,2.58,01/04,
076631 鴻海元大07購03,"8,819,360","2,589,000",103,3.41,4.59,5.85,5.85,01/20,2.38,01/04,
076632 台積電元大05購15,"20,258,910","3,659,000",657,5.54,4.55,3.80,9.35,01/21,1.75,01/04,
076633 台積電元大07購03,"18,039,430","7,965,000",408,2.26,3.06,3.15,4.60,01/21,1.78,01/04,
076634 台積電元大07購04,"24,700,340","3,292,000",227,7.50,6.14,5.15,11.50,01/21,2.93,01/05,
076636 華碩元大06購01,"10,936,990","4,981,000",253,2.20,2.31,2.33,2.79,01/13,1.45,01/05,
076637 瑞昱元大05購03,"5,246,000","2,621,000",275,2.00,2.33,2.40,3.44,01/26,1.33,01/05,
076638 漢唐元大05購01,"12,555,090","10,187,000",459,1.23,1.35,1.44,1.99,01/22,0.97,01/13,
076639 聯發科元大07購03,"1,851,130","659,000",55,2.81,2.68,3.31,3.31,01/22,2.14,01/04,
076640 強茂元大06購01,"6,565,470","2,499,000",168,2.63,2.54,2.07,3.18,01/12,2.07,01/29,
076641 國揚元大05購04,"496,080","685,000",68,0.72,0.62,0.23,1.19,01/04,0.23,01/29,
076642 富邦金元大07購01,"13,556,320","7,274,000",532,1.86,1.78,1.49,2.20,01/12,1.49,01/29,
076643 玉晶光元大06購06,"41,000","100,000",2,0.41,0.41,0.41,0.41,01/19,0.41,01/19,
076644 京鼎元大05購03,"12,994,110","7,666,000",450,1.70,1.62,1.16,2.35,01/25,1.16,01/29,
076645 健策元大05購03,"7,290,920","3,944,000",243,1.85,1.80,1.67,2.40,01/19,1.04,01/05,
076646 茂林元大06購01,"1,487,630","2,040,000",114,0.73,0.73,0.55,0.99,01/06,0.55,01/29,
076647 嘉聯益元大05購04,"5,996,750","6,301,000",285,0.95,0.75,0.36,1.55,01/14,0.36,01/29,
076648 愛普元大05購03,"17,545,910","5,769,000",364,3.04,4.27,6.35,6.75,01/25,1.93,01/05,
076649 惠特元大05購02,"1,287,180","1,145,000",64,1.12,1.03,0.85,1.34,01/04,0.85,01/29,
076650 台虹元大05購02,"2,285,750","3,067,000",81,0.75,0.70,0.65,0.89,01/07,0.53,01/21,
076651 台積電統一06購05,"530,040","200,000",32,2.65,3.08,4.18,4.18,01/15,2.12,01/05,
076652 台光電統一06購01,"5,113,780","5,157,000",196,0.99,0.97,0.91,1.15,01/15,0.85,01/20,
076653 致伸統一06購01,"11,444,520","7,821,000",343,1.46,1.39,1.62,1.85,01/29,1.03,01/12,
076654 嘉聯益統一07購02,"3,240,400","3,565,000",140,0.91,0.91,0.54,1.45,01/14,0.54,01/29,
076655 愛普統一07購02,"6,837,540","2,726,000",278,2.51,3.02,4.03,4.83,01/25,1.45,01/05,
076656 T50反1元富05購02,"299,740","2,382,000",47,0.13,0.13,0.14,0.15,01/20,0.11,01/26,
076661 鴻海元富05購03,"2,173,390","272,000",23,7.99,8.78,12.00,12.00,01/15,4.80,01/04,
076662 台積電元富05購01,"7,350,450","1,530,000",62,4.80,5.21,4.61,7.25,01/21,4.36,01/12,
076663 台積電元富05購02,"12,362,300","2,870,000",90,4.31,4.40,3.92,6.60,01/21,3.20,01/08,
076664 台積電元富05購03,"17,188,420","4,070,000",149,4.22,4.43,3.89,6.80,01/22,3.36,01/11,
076666 美律元富05購01,"548,020","564,000",28,0.97,0.93,0.69,1.21,01/06,0.69,01/29,
076667 美食元富05購01,"2,097,600","1,784,000",90,1.18,1.16,0.65,1.75,01/08,0.65,01/29,
076668 泰鼎元富08購01,"3,306,240","4,265,000",174,0.78,0.79,0.68,0.90,01/04,0.66,01/29,
076669 嘉聯益元富05購03,"1,000,290","936,000",45,1.07,1.07,0.62,1.79,01/15,0.62,01/29,
076670 超眾元富05購03,"178,770","188,000",17,0.95,0.85,0.65,1.02,01/14,0.65,01/22,
076671 T50反1凱基05購03,"1,851,090","10,965,000",187,0.17,0.20,0.22,0.36,01/05,0.11,01/22,
076672 台達電凱基05購01,"199,070","41,000",9,4.86,4.82,4.20,5.80,01/08,4.20,01/29,
076673 鴻海凱基06購03,"2,182,810","526,000",22,4.15,6.25,8.45,8.45,01/29,2.87,01/04,
076674 台積電凱基05購11,"4,805,780","1,598,000",175,3.01,3.60,4.14,6.60,01/21,1.60,01/04,
076675 台積電凱基09購01,"107,860,240","68,036,000","4,878",1.59,1.59,1.31,3.05,01/21,0.79,01/04,
076676 聯發科凱基05購08,"1,553,410","585,000",29,2.66,2.91,3.80,3.80,01/26,2.04,01/04,
076677 聯發科凱基05購09,"2,229,020","539,000",103,4.14,4.06,4.55,5.35,01/22,2.89,01/07,
076678 大立光凱基05購10,"507,990","648,000",27,0.78,0.87,0.65,1.52,01/04,0.62,01/19,
076679 欣興凱基05購08,"4,219,740","1,407,000",111,3.00,3.05,2.80,4.05,01/13,2.57,01/04,
076680 景碩凱基06購01,"1,550,310","867,000",133,1.79,1.75,1.20,2.26,01/13,1.20,01/28,
076681 緯創凱基05購01,"1,783,130","1,700,000",131,1.05,1.05,1.02,1.30,01/28,0.78,01/22,
076682 健策凱基05購03,"5,729,860","3,004,000",237,1.91,1.77,1.40,2.39,01/19,1.02,01/07,
076683 泰鼎凱基05購01,"929,710","2,116,000",63,0.44,0.42,0.35,0.50,01/27,0.35,01/29,
076684 臻鼎凱基06購01,"2,373,550","3,073,000",87,0.77,0.76,0.64,0.94,01/06,0.58,01/20,
076685 力成凱基05購01,"13,388,980","8,391,000",300,1.60,1.46,1.32,1.96,01/25,1.20,01/06,
076686 矽格凱基05購01,"6,301,640","2,507,000",257,2.51,2.63,2.81,3.68,01/22,1.97,01/04,
076687 訊芯凱基05購01,"5,484,610","3,398,000",301,1.61,1.57,0.94,2.27,01/08,0.94,01/29,
076688 愛普凱基05購02,"7,201,170","2,419,000",225,2.98,3.90,6.75,6.75,01/28,1.91,01/05,
076689 矽創凱基05購01,"11,519,080","4,651,000",329,2.48,2.44,2.20,2.86,01/19,2.11,01/06,
076690 寶成凱基05購01,"163,430","148,000",9,1.10,1.01,0.58,1.27,01/04,0.58,01/22,
076691 鴻海國泰07購03,"16,552,140","4,345,000",234,3.81,5.44,5.60,8.00,01/27,2.06,01/04,
076692 鴻海國泰07購04,"122,661,050","9,187,000",709,13.35,21.21,20.80,30.90,01/27,7.75,01/04,
076693 長榮國泰07購01,"9,550","1,000",1,9.55,9.55,9.55,9.55,01/04,9.55,01/04,
076694 台灣50富邦06購01,"6,698,360","2,337,000",107,2.87,2.79,2.45,3.94,01/21,1.72,01/05,
076695 A50正2富邦07購01,"139,810","54,000",12,2.59,2.52,2.69,3.01,01/13,1.88,01/05,
076696 SP黃豆富邦08購02,"12,540,650","9,799,000",274,1.28,1.26,1.10,1.64,01/13,0.86,01/25,
076697 智邦富邦05購01,"645,610","830,000",37,0.78,0.84,0.69,1.00,01/11,0.69,01/29,
076698 宏達電富邦05購01,"254,900","542,000",49,0.47,0.43,0.30,0.60,01/04,0.28,01/27,
076699 聯詠富邦07購01,"15,158,050","7,966,000",717,1.90,1.82,1.74,2.50,01/26,1.25,01/05,
076700 南六富邦07購01,"993,340","2,356,000",43,0.42,0.42,0.35,0.49,01/04,0.35,01/29,
076701 南電富邦05購01,"1,620,400","1,062,000",90,1.53,1.83,2.22,2.22,01/26,1.11,01/04,
076702 美利達富邦05購01,"5,192,910","7,528,000",258,0.69,0.65,0.55,0.84,01/26,0.50,01/08,
076703 臺股指富邦05購02,"1,953,490","1,561,000",161,1.25,1.37,1.28,1.70,01/22,0.95,01/04,
076704 SP黃豆永豐05購01,"150,610","54,000",9,2.79,2.70,2.86,2.96,01/27,2.49,01/05,
076705 台玻永豐05購02,"5,616,540","3,769,000",142,1.49,1.44,0.82,2.56,01/04,0.82,01/29,
076706 東鋼永豐05購01,"782,800","646,000",43,1.21,1.41,0.71,2.18,01/05,0.71,01/29,
076707 精英永豐05購02,"121,630","52,000",5,2.34,2.37,2.26,2.62,01/07,2.26,01/08,
076708 美律永豐05購01,"895,960","1,197,000",31,0.75,0.63,0.48,0.89,01/06,0.45,01/22,
076709 日月光永豐05購01,"7,788,060","3,117,000",128,2.50,3.07,4.96,4.96,01/19,1.81,01/04,
076710 眾達永豐05購01,"1,677,680","2,610,000",48,0.64,0.56,0.36,0.73,01/07,0.36,01/27,
076711 訊芯永豐05購02,"5,428,320","4,278,000",246,1.27,1.18,0.93,1.62,01/08,0.89,01/28,
076712 南六永豐05購01,"1,839,200","2,923,000",191,0.63,0.59,0.48,0.73,01/25,0.48,01/29,
076713 寶成永豐05購01,"333,220","462,000",15,0.72,0.79,0.58,0.99,01/07,0.58,01/28,
076714 大立光第一07購01,"429,500","1,680,000",31,0.26,0.26,0.27,0.38,01/06,0.18,01/21,
076715 道瓊反中信07購01,"3,850","5,000",2,0.77,0.77,0.77,0.77,01/11,0.77,01/11,
076716 萬海中信06購01,"14,839,530","18,629,000","1,157",0.80,0.74,0.48,1.38,01/04,0.44,01/18,
076717 聯茂中信06購01,"1,324,730","1,936,000",45,0.68,0.68,0.55,0.77,01/05,0.54,01/25,
076718 臺指反群益05購01,"220,000","1,405,000",15,0.16,0.15,0.07,0.28,01/04,0.07,01/27,
076719 元油反群益05購01,"13,290","29,000",3,0.46,0.47,0.33,0.61,01/04,0.33,01/21,
076720 南紡群益05購01,"100,500","140,000",5,0.72,0.70,0.62,0.76,01/14,0.62,01/15,
076721 光罩群益05購01,"6,742,320","2,662,000",233,2.53,2.48,1.88,2.89,01/07,1.88,01/29,
076722 瀚宇博群益05購01,"4,741,970","4,244,000",79,1.12,1.16,0.97,1.35,01/06,0.85,01/22,
076723 鴻海兆豐06購01,"3,376,290","1,231,000",187,2.74,3.56,3.33,5.15,01/26,1.20,01/04,
076724 京元電兆豐06購01,"2,256,160","1,174,000",69,1.92,2.09,2.18,2.87,01/25,1.66,01/05,
076725 聯發科兆豐05購07,"1,048,030","327,000",80,3.20,3.20,3.36,4.27,01/21,1.71,01/04,
076726 臻鼎兆豐06購02,"12,998,860","18,047,000",425,0.72,0.70,0.57,0.91,01/06,0.55,01/20,
076727 瀚宇博兆豐06購02,"1,257,150","1,194,000",52,1.05,1.04,0.82,1.16,01/14,0.82,01/29,
076728 國泰金麥證05購02,"390,970","555,000",28,0.70,0.62,0.37,0.85,01/08,0.37,01/28,
076729 榮成康和05購01,"5,894,660","3,891,000",59,1.51,1.93,1.13,3.00,01/04,1.13,01/27,
076730 興勤康和05購01,"12,462,960","2,710,000",143,4.60,4.54,4.75,5.80,01/25,3.21,01/06,
076731 美食康和05購01,"2,801,040","5,624,000",226,0.50,0.54,0.31,0.84,01/08,0.31,01/27,
076733 長興凱基05購01,"1,253,510","1,149,000",111,1.09,1.07,0.67,1.87,01/21,0.67,01/28,
076734 台玻凱基05購01,"3,601,490","1,780,000",142,2.02,1.80,1.10,3.28,01/04,1.10,01/29,
076735 廣宇凱基06購01,"9,400,170","2,547,000",246,3.69,4.42,6.80,7.60,01/19,2.05,01/04,
076736 台積電凱基06購06,"6,856,250","2,209,000",225,3.10,3.43,2.91,7.00,01/18,1.49,01/05,
076737 台積電凱基07購08,"11,874,030","2,564,000",373,4.63,4.26,4.01,7.60,01/21,1.99,01/04,
076738 台積電凱基08購05,"4,336,460","523,000",188,8.29,7.62,6.95,13.40,01/21,3.97,01/04,
076739 精英凱基05購02,"147,080","42,000",5,3.50,3.35,3.48,3.62,01/25,2.94,01/05,
076740 華邦電凱基05購05,"11,800","2,000",1,5.90,5.90,5.90,5.90,01/27,5.90,01/27,
076741 順德凱基06購01,"13,154,860","4,955,000",492,2.65,2.44,1.72,4.06,01/04,1.71,01/29,
076742 技嘉凱基05購02,"3,383,590","2,465,000",245,1.37,1.35,1.27,1.59,01/14,0.98,01/21,
076743 聯發科凱基06購06,"15,244,160","5,469,000",371,2.79,2.73,3.18,4.14,01/22,1.57,01/04,
076744 宏達電凱基05購01,"639,520","633,000",36,1.01,0.95,0.68,1.21,01/06,0.68,01/28,
076745 萬海凱基05購03,"1,756,230","558,000",126,3.15,3.04,2.11,5.95,01/04,1.80,01/18,
076746 長榮航凱基06購01,"748,240","847,000",37,0.88,0.88,0.84,1.05,01/06,0.71,01/18,
076747 美食凱基05購02,"414,110","516,000",28,0.80,0.72,0.40,1.10,01/08,0.40,01/27,
076748 大立光凱基05購11,"3,500","5,000",1,0.70,0.70,0.70,0.70,01/05,0.70,01/05,
076749 嘉聯益凱基07購02,"4,446,070","5,263,000",170,0.84,0.63,0.35,1.98,01/18,0.35,01/29,
076750 台表科凱基05購03,"1,352,040","1,084,000",91,1.25,1.15,0.95,1.80,01/04,0.91,01/18,
076751 愛普凱基05購03,"4,909,730","1,488,000",98,3.30,3.67,5.90,6.55,01/28,1.81,01/05,
076752 惠特凱基05購02,"1,998,000","2,048,000",109,0.98,1.00,0.87,1.35,01/04,0.79,01/19,
076753 南電凱基05購03,"3,076,290","951,000",73,3.23,3.93,4.81,4.81,01/27,2.41,01/04,
076754 世紀鋼凱基05購04,"330,750","576,000",26,0.57,0.59,0.55,0.80,01/08,0.40,01/15,
076755 台灣50元大05購11,"1,294,590","223,000",24,5.81,4.21,5.90,5.90,01/19,2.86,01/05,
076756 台灣50元大05購12,"2,022,480","454,000",49,4.45,3.72,3.53,4.84,01/19,2.59,01/06,
076757 T50正2元大08購06,"2,830,090","617,000",53,4.59,4.57,3.96,5.95,01/21,3.10,01/04,
076758 FBVIX元大05購04,"605,450","544,000",9,1.11,1.17,1.09,1.46,01/05,0.86,01/22,
076759 SP黃豆元大08購01,"6,008,480","6,090,000",286,0.99,0.98,0.89,1.25,01/13,0.71,01/25,
076760 中興電元大06購02,"1,431,810","1,707,000",43,0.84,0.90,0.98,1.26,01/04,0.71,01/21,
076761 台玻元大05購01,"11,372,600","7,976,000",274,1.43,1.40,0.81,2.54,01/05,0.81,01/29,
076762 東鋼元大06購01,"7,448,890","5,360,000",271,1.39,1.36,0.72,2.20,01/06,0.72,01/29,
076763 鴻海元大05購10,"17,750","5,000",1,3.55,3.55,3.55,3.55,01/04,3.55,01/04,
076764 精英元大05購02,"4,391,100","1,805,000",149,2.43,2.39,2.19,3.11,01/20,1.84,01/12,
076765 旺宏元大05購02,"339,180","200,000",29,1.70,1.75,2.05,2.21,01/04,1.41,01/18,
076766 旺宏元大05購03,"8,156,580","4,310,000",275,1.89,1.70,1.45,2.33,01/04,1.33,01/18,
076767 旺宏元大06購01,"8,909,300","4,213,000",291,2.11,2.02,1.78,2.72,01/26,1.61,01/18,
076768 智邦元大05購02,"7,740,230","4,252,000",257,1.82,1.74,1.16,2.52,01/04,0.60,01/29,
076769 佳世達元大05購01,"9,355,830","3,048,000",259,3.07,2.97,2.96,3.95,01/04,2.09,01/22,
076770 微星元大05購02,"3,624,330","2,520,000",135,1.44,1.39,1.33,1.95,01/14,1.10,01/20,
076771 京元電元大05購01,"11,825,160","6,569,000",382,1.80,1.67,1.51,2.64,01/22,1.16,01/06,
076772 晶技元大05購02,"11,703,030","8,552,000",343,1.37,1.35,1.41,2.15,01/27,0.98,01/04,
076773 玉晶光元大08購03,"42,340","62,000",8,0.68,0.75,0.61,1.22,01/04,0.61,01/25,
076774 嘉聯益元大06購02,"8,928,590","6,070,000",354,1.47,1.23,0.72,2.02,01/15,0.72,01/29,
076775 南電元大05購03,"2,702,530","687,000",59,3.93,4.26,5.20,6.00,01/22,2.73,01/04,
076776 南電元大05購04,"508,910","161,000",14,3.16,4.19,4.87,4.87,01/13,2.86,01/04,
076777 嘉聯益統一06購03,"204,530","242,000",12,0.85,0.93,0.73,1.27,01/14,0.72,01/25,
076778 道瓊銀元富05購01,"170,700","100,000",3,1.71,1.72,1.71,1.72,01/15,1.67,01/21,
076779 道瓊銀元富05購02,"62,500","50,000",1,1.25,1.25,1.25,1.25,01/29,1.25,01/29,
076783 富邦金元富05購01,"26,529,640","9,770,000",298,2.72,2.49,1.94,3.19,01/12,1.94,01/29,
076784 開發金元富05購01,"15,847,080","13,396,000",316,1.18,1.08,0.84,1.63,01/11,0.83,01/29,
076785 玉山金元富05購01,"3,130,230","3,263,000",90,0.96,1.16,0.64,1.56,01/04,0.64,01/29,
076786 景碩元富05購03,"3,023,380","818,000",91,3.70,3.54,2.42,4.62,01/13,2.42,01/29,
076787 台表科元富08購02,"4,037,330","3,134,000",191,1.29,1.23,1.18,1.64,01/04,1.08,01/18,
076788 南茂元富05購01,"5,823,700","3,855,000",131,1.51,1.49,1.28,1.81,01/19,1.28,01/28,
076789 國喬國票06購01,"17,800","29,000",8,0.61,0.70,0.46,1.07,01/05,0.46,01/28,
076790 中鋼國票06購01,"2,996,780","2,515,000",160,1.19,1.05,0.65,1.63,01/06,0.65,01/29,
076791 為升國票06購02,"433,800","455,000",20,0.95,0.91,0.63,1.16,01/07,0.63,01/28,
076792 台積電國票05購13,"558,680","234,000",19,2.39,3.04,5.20,5.20,01/20,1.84,01/04,
076793 台積電國票06購03,"11,682,660","5,324,000",44,2.19,3.08,5.65,5.65,01/21,1.93,01/04,
076794 台積電國票06購04,"10,574,330","1,849,000",49,5.72,4.94,4.19,8.55,01/22,2.40,01/04,
076795 台積電國票06購05,"4,305,190","759,000",19,5.67,5.65,4.50,8.50,01/22,3.25,01/06,
076796 台積電國票07購03,"5,856,310","2,150,000",70,2.72,3.60,3.52,5.60,01/21,1.94,01/04,
076797 台積電國票08購04,"32,876,100","6,620,000",125,4.97,5.04,4.00,8.95,01/21,2.76,01/05,
076798 聯發科國票07購03,"1,193,700","482,000",25,2.48,2.62,2.96,3.19,01/13,1.86,01/04,
076799 聯發科國票07購04,"377,810","89,000",27,4.25,3.99,5.15,5.15,01/22,2.76,01/07,
076800 聯發科國票07購05,"1,041,920","411,000",25,2.54,3.30,4.11,4.38,01/22,2.11,01/05,
076801 聯發科國票08購04,"11,334,710","3,482,000",90,3.26,3.66,3.99,4.68,01/22,2.71,01/05,
076802 長榮國票07購01,"83,000","13,000",2,6.38,6.40,6.40,6.40,01/04,6.35,01/04,
076803 萬海國票06購03,"1,649,290","839,000",144,1.97,2.06,1.50,3.85,01/04,1.24,01/18,
076804 國泰金國票06購01,"1,115,990","1,004,000",5,1.11,1.08,1.16,1.16,01/11,1.03,01/06,
076805 大立光國票07購02,"130,000","190,000",6,0.68,0.53,0.31,0.89,01/04,0.31,01/15,
076806 景碩國票06購04,"776,360","551,000",22,1.41,1.32,1.14,1.64,01/13,1.14,01/27,
076807 惠特國票06購01,"4,521,060","5,144,000",88,0.88,0.86,0.86,1.10,01/04,0.68,01/18,
076808 南電國票07購01,"482,490","214,000",17,2.25,2.38,2.56,2.67,01/05,1.79,01/04,
076809 寶成國票06購02,"657,600","1,518,000",30,0.43,0.46,0.31,0.73,01/05,0.31,01/29,
076810 世紀鋼國票06購03,"54,130","136,000",9,0.40,0.42,0.49,0.55,01/07,0.27,01/18,
076811 台積電國泰07購11,"13,635,280","2,582,000",285,5.28,7.78,9.55,12.50,01/20,3.84,01/04,
076812 聯發科國泰07購03,"22,556,440","8,729,000",323,2.58,2.75,2.88,3.77,01/22,1.65,01/04,
076813 大立光國泰07購05,"121,720","187,000",27,0.65,0.54,0.36,0.94,01/04,0.34,01/18,
076814 科嘉國泰07購01,"5,231,130","6,054,000",133,0.86,0.83,0.78,0.98,01/27,0.74,01/22,
076815 世紀鋼國泰07購01,"885,840","1,622,000",76,0.55,0.53,0.56,0.79,01/08,0.34,01/18,
076816 全新富邦05購01,"247,980","179,000",21,1.39,1.36,1.35,1.53,01/06,1.13,01/18,
076817 可成富邦06購02,"2,108,940","2,977,000",95,0.71,0.64,0.48,0.85,01/14,0.48,01/29,
076818 景碩富邦05購01,"5,981,890","7,186,000",434,0.83,0.78,0.47,1.01,01/13,0.47,01/29,
076819 日月光富邦05購02,"6,243,640","4,181,000",254,1.49,1.84,1.65,2.81,01/20,0.92,01/04,
076820 致伸富邦07購01,"15,623,740","14,367,000",842,1.09,1.00,1.16,1.33,01/29,0.74,01/12,
